S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Party
263,Kasaragod(1),RAJMOHAN UNNITHAN,490659,100649,INC
264,Kannur(2),K. SUDHAKARAN,518524,108982,INC
265,Vadakara(3),SHAFI PARAMBIL,557528,114506,INC
266,Wayanad(4),RAHUL GANDHI,647445,364422,INC
267,Kozhikode(5),M. K. RAGHAVAN,520421,146176,INC
268,Palakkad(8),V K SREEKANDAN,421169,75283,INC
269,Chalakudy(11),BENNY BEHANAN,394171,63754,INC
270,Ernakulam(12),HIBI EDEN,482317,250385,INC
271,Idukki(13),ADV. DEAN KURIAKOSE,432372,133727,INC
272,Alappuzha(15),K. C VENUGOPAL,404560,63513,INC
273,Mavelikkara (16),KODIKUNNIL SURESH,369516,10868,INC
274,Pathanamthitta(17),ANTO ANTONY,367623,66119,INC
275,Attingal(19),ADV ADOOR PRAKASH,328051,684,INC
276,Thiruvananthapuram(20),SHASHI THAROOR,358155,16077,INC
277,Nandurbar(1),ADV GOWAAL KAGADA PADAVI,745998,159120,INC
278,Dhule(2),BACHHAV SHOBHA DINESH,583866,3831,INC
279,Amravati (7),BALWANT BASWANT WANKHADE,526271,19731,INC
280,Ramtek (9),Shyamkumar (Babalu) Daulat Barve,613025,76768,INC
281,Bhandara Gondiya(11),DR. PRASHANT YADAORAO PADOLE,587413,37380,INC
282,Gadchiroli - Chimur(12),DR. KIRSAN NAMDEO,617792,141696,INC
283,Chandrapur(13),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,718410,260406,INC
284,Nanded(16),CHAVAN VASANTRAO BALWANTRAO,528894,59442,INC
285,Jalna(18),KALYAN VAIJINATHRAO KALE,607897,109958,INC
286,Mumbai North Central(29),GAIKWAD VARSHA EKNATH,445545,16514,INC
287,Latur (41),DR. KALGE SHIVAJI BANDAPPA,609021,61881,INC
288,Solapur(42),PRANITI SUSHILKUMAR SHINDE,620225,74197,INC
289,Kolhapur(47),CHHATRAPATI SHAHU SHAHAJI,754522,154964,INC
290,Inner Manipur(1),ANGOMCHA BIMOL AKOIJAM,374017,109801,INC
291,Outer Manipur(2),ALFRED KANNGAM S ARTHUR,384954,85418,INC
292,Tura(2),SALENG A SANGMA,383919,155241,INC
293,Nagaland(1),S SUPONGMEREN JAMIR,401951,50984,INC
294,Koraput(21),SAPTAGIRI SANKAR ULAKA,471393,147744,INC
295,Gurdaspur(1),SUKHJINDER SINGH RANDHAWA,364043,82861,INC
296,Amritsar(2),GURJEET SINGH AUJLA,255181,40301,INC
297,Jalandhar(4),CHARANJIT SINGH CHANNI,390053,175993,INC
298,Ludhiana(7),AMRINDER SINGH RAJA WARRING,322224,20942,INC
299,Fatehgarh Sahib(8),AMAR SINGH,332591,34202,INC
300,Firozpur(10),SHER SINGH GHUBAYA,266626,3242,INC
301,Patiala(13),DR DHARAMVIRA GANDHI,305616,14831,INC
302,GANGANAGAR (1),KULDEEP INDORA,726492,88153,INC
303,CHURU(3),RAHUL KASWAN,728211,72737,INC
304,JHUNJHUNU     (4),BRIJENDRA SINGH OLA,553168,18235,INC
305,BHARATPUR (9),SANJNA JATAV,579890,51983,INC
306,KARAULI-DHOLPUR (10),BHAJAN LAL JATAV,530011,98945,INC
307,DAUSA (11),MURARI LAL MEENA,646266,237340,INC
308,TONK-SAWAI MADHOPUR (12),HARISH CHANDRA MEENA,623763,64949,INC
309,BARMER(17),UMMEDA RAM BENIWAL,704676,118176,INC
310,TIRUVALLUR(1),Sasikanth Senthil,796956,572155,INC
311,KRISHNAGIRI(9),GOPINATH K,492883,192486,INC
312,KARUR(23),JOTHIMANI. S,534906,166816,INC
313,CUDDALORE(26),M.K. VISHNUPRASAD,455053,185896,INC
314,MAYILADUTHURAI(28),SUDHA R,518459,271183,INC
315,SIVAGANGA(31),KARTI P CHIDAMBARAM,427677,205664,INC
316,VIRUDHUNAGAR(34),MANICKAM TAGORE B,385256,4379,INC
317,TIRUNELVELI(38),ROBERT BRUCE C,502296,165620,INC
318,KANNIYAKUMARI(39),VIJAYAKUMAR (Alias) VIJAY VASANTH,546248,179907,INC
319,Saharanpur(1),IMRAN MASOOD,547967,64542,INC
320,Sitapur(30),RAKESH RATHOR,531138,89641,INC
321,Rae Bareli(36),RAHUL GANDHI,687649,390030,INC
322,Amethi(37),KISHORI LAL,539228,167196,INC
323,Allahabad(52),UJJWAL RAMAN SINGH,462145,58795,INC
324,Barabanki(53),TANUJ PUNIA,719927,215704,INC
325,Maldaha Dakshin(8),ISHA KHAN CHOUDHURY,572395,128368,INC
326,KORBA(4),JYOTSNA CHARANDAS MAHANT,570182,43283,INC
327,Khunti(11),KALI CHARAN MUNDA,511647,149675,INC
328,Lohardaga(12),SUKHDEO BHAGAT,483038,139138,INC
329,Peddapalle (2),VAMSI KRISHNA GADDAM,475587,131364,INC
330,Zahirabad(5),SURESH KUMAR SHETKAR,528418,46188,INC
331,Nagarkurnool(12),DR.MALLU RAVI,465072,94414,INC
332,Nalgonda(13),KUNDURU RAGHUVEER,784337,559905,INC
333,Bhongir (14),CHAMALA KIRAN KUMAR REDDY,629143,222170,INC
334,Warangal(15),KADIYAM KAVYA,581294,220339,INC
335,Mahabubabad  (16),BALRAM NAIK PORIKA,612774,349165,INC
336,Khammam (17),RAMASAHAYAM RAGHURAM REDDY,766929,467847,INC
337,Chandigarh(1),MANISH TEWARI,216657,2504,INC
338,Lakshadweep(1),MUHAMMED HAMDULLAH SAYEED,25726,2647,INC
339,PUDUCHERRY(1),VE VAITHILINGAM,426005,136516,INC
340,Kairana(2),IQRA CHOUDHARY,528013,69116,SP
341,Muzaffarnagar(3),HARENDRA SINGH MALIK,470721,24672,SP
342,Moradabad(6),RUCHI VIRA,637363,105762,SP
343,Rampur(7),MOHIBBULLAH,481503,87434,SP
344,Sambhal(8),ZIA UR REHMAN,571161,121494,SP
345,Firozabad(20),AKSHAYA YADAV,543037,89312,SP
346,Mainpuri(21),DIMPLE YADAV,598526,221639,SP
347,Etah(22),DEVESH SHAKYA,475808,28052,SP
348,Badaun(23),ADITYA YADAV,501855,34991,SP
349,Aonla(24),NEERAJ MAURYA,492515,15969,SP
350,Kheri(28),UTKARSH VERMA 'MADHUR',557365,34329,SP
351,Dhaurahra(29),ANAND BHADAURIYA,443743,4449,SP
352,Mohanlalganj(34),R.K. CHAUDHARY,667869,70292,SP
353,Sultanpur(38),RAMBHUAL NISHAD,444330,43174,SP
354,Pratapgarh(39),SHIV PAL SINGH PATEL (DR. S P SINGH),441932,66206,SP
355,Etawah(41),JITENDRA KUMAR DOHARE,490747,58419,SP
356,Kannauj(42),AKHILESH YADAV,642292,170922,SP
